Linux 6.17.0-35-generic (7eee4cec281a) 	06/29/26 	_x86_64_	(22 CPU)

05:26:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:26:58        all     21.87      0.00      6.26     19.77      0.00     52.10
05:26:59        all      7.12      0.00      1.46     18.26      0.00     73.16
05:27:00        all     17.80      0.00      1.83      7.41      0.00     72.96
05:27:01        all      8.82      0.00      2.10     12.35      0.00     76.73
05:27:02        all     12.28      0.18      1.96      9.32      0.00     76.26
05:27:03        all     15.89      0.00      1.50      5.69      0.00     76.92
05:27:04        all     24.98      0.00      1.87      3.70      0.00     69.45
05:27:05        all     12.31      0.00      2.78      2.60      0.00     82.31
05:27:06        all      7.06      0.00      1.46      2.55      0.00     88.92
05:27:07        all      5.69      0.00      1.14      3.05      0.00     90.12
05:27:08        all      5.56      0.00      0.91      3.32      0.00     90.21
05:27:09        all     22.17      0.00      2.42     12.07      0.00     63.35
05:27:10        all     34.06      0.00      1.91      0.68      0.00     63.35
05:27:11        all      2.01      0.00      1.46      5.57      0.00     90.95
05:27:12        all      1.97      0.00      2.19      5.72      0.00     90.12
05:27:13        all      1.28      0.00      2.82      2.73      0.00     93.17
05:27:14        all      1.37      0.00      3.15      0.64      0.00     94.84
05:27:15        all      1.64      0.00      2.92      0.91      0.00     94.53
05:27:16        all      2.05      0.00      2.96      0.91      0.00     94.09
05:27:17        all      2.01      0.00      1.19      3.94      0.00     92.86
05:27:18        all      1.41      0.00      2.09      3.05      0.00     93.45
05:27:19        all      1.50      0.00      0.55      1.96      0.00     95.99
05:27:20        all      0.14      0.00      0.14      0.05      0.00     99.68
05:27:21        all      0.95      0.00      0.32      0.18      0.00     98.55
05:27:22        all      0.14      0.00      0.18      0.05      0.00     99.64
05:27:23        all      0.14      0.00      0.14      0.05      0.00     99.68
05:27:24        all      0.18      0.00      0.18      0.23      0.00     99.41
05:27:25        all      0.36      0.00      0.36      0.00      0.00     99.27
05:27:26        all      0.41      0.00      0.18      0.05      0.00     99.36
05:27:27        all      0.18      0.00      0.27      0.05      0.00     99.50
05:27:28        all      0.14      0.00      0.23      0.05      0.00     99.59
05:27:29        all      0.23      0.00      0.09      6.05      0.00     93.63
05:27:30        all      0.23      0.00      0.23      8.87      0.00     90.68
05:27:31        all      0.91      0.00      0.23      8.83      0.00     90.03
05:27:32        all      0.09      0.00      0.18     10.34      0.00     89.38
05:27:33        all      0.45      0.00      0.27     14.73      0.00     84.54
05:27:34        all      0.27      0.00      0.14      7.23      0.00     92.36
05:27:35        all      0.46      0.00      0.23      7.66      0.00     91.66
05:27:36        all      1.00      0.00      0.46      9.72      0.00     88.82
05:27:37        all      0.86      0.00      0.27      6.74      0.00     92.13
05:27:38        all      0.23      0.00      0.32      8.45      0.00     91.01
05:27:39        all      0.23      0.14      0.27      4.28      0.00     95.08
05:27:40        all      0.18      0.05      0.18      5.27      0.00     94.32
05:27:41        all      0.59      0.00      0.14      8.03      0.00     91.24
05:27:42        all      0.14      0.00      0.23      6.05      0.00     93.58
05:27:43        all      0.18      0.00      0.18     13.06      0.00     86.58
05:27:44        all      0.14      0.00      0.18      8.15      0.00     91.53
05:27:45        all      0.50      0.00      0.41      8.41      0.00     90.68
05:27:46        all      0.14      0.00      0.14      8.88      0.00     90.85
05:27:47        all      0.14      0.00      0.18     11.79      0.00     87.89
05:27:48        all      0.18      0.00      0.09     13.19      0.00     86.53
05:27:49        all      0.23      0.00      0.23      8.97      0.00     90.58
05:27:50        all      0.23      0.00      0.23     10.64      0.00     88.90
05:27:51        all      0.86      0.00      0.36     10.33      0.00     88.44
05:27:52        all      0.14      0.00      0.00     13.39      0.00     86.47
05:27:53        all      0.41      0.00      0.23     13.86      0.00     85.50
05:27:54        all      0.14      0.00      0.18     15.34      0.00     84.34
05:27:55        all      0.36      0.00      0.14     17.97      0.00     81.53
05:27:56        all      0.59      0.00      0.23     18.62      0.00     80.56
05:27:57        all      0.09      0.00      0.18     14.18      0.00     85.55
05:27:58        all      0.14      0.00      0.05     13.44      0.00     86.38
05:27:59        all      0.32      0.00      0.36      9.72      0.00     89.60
05:28:00        all      0.23      0.00      0.18      8.15      0.00     91.44
05:28:01        all      1.45      0.00      0.73      6.50      0.00     91.32
05:28:02        all      0.64      0.00      0.27      4.75      0.00     94.33
05:28:03        all      0.32      0.00      0.18      7.19      0.00     92.30
05:28:04        all      0.36      0.00      0.18      6.97      0.00     92.48
05:28:05        all      0.55      0.00      0.36      8.90      0.00     90.19
05:28:06        all      0.86      0.00      0.32      4.55      0.00     94.27
05:28:07        all      0.32      0.00      0.18      4.56      0.00     94.94
05:28:08        all      0.32      0.00      0.27      6.54      0.00     92.87
05:28:09        all      0.59      0.00      0.05      7.53      0.00     91.83
05:28:10        all      0.68      1.18      0.27      8.06      0.00     89.80
05:28:11        all      1.00      1.00      0.64      5.87      0.00     91.49
05:28:12        all      1.00      0.00      0.27      0.59      0.00     98.13
05:28:13        all      1.10      0.00      0.32      0.00      0.00     98.59
05:28:14        all      2.59      0.00      0.64      0.00      0.00     96.77
05:28:15        all      1.59      0.00      0.23      0.00      0.00     98.18
05:28:16        all      0.41      0.00      0.27      0.00      0.00     99.32
05:28:17        all      0.50      0.00      0.18      0.00      0.00     99.32
05:28:18        all      0.46      0.00      0.23      0.00      0.00     99.32
05:28:19        all      0.55      0.00      0.32      0.00      0.00     99.14
05:28:20        all      0.50      0.00      0.32      0.00      0.00     99.18
05:28:21        all      1.10      0.00      0.32      0.00      0.00     98.59
05:28:22        all      0.41      0.00      0.32      0.00      0.00     99.27
05:28:23        all      0.41      0.00      0.27      0.00      0.00     99.32
05:28:24        all      0.37      0.00      0.05      0.00      0.00     99.59
05:28:25        all      0.50      0.00      0.27      0.00      0.00     99.23
05:28:26        all      0.64      0.00      0.36      0.00      0.00     99.00
05:28:27        all      0.36      0.00      0.14      0.00      0.00     99.50
05:28:28        all      0.46      0.00      0.23      0.00      0.00     99.32
05:28:29        all      0.36      0.00      0.14      0.00      0.00     99.50
05:28:30        all      0.41      0.00      0.23      0.00      0.00     99.36
05:28:31        all      1.09      0.00      0.32      0.00      0.00     98.59
05:28:32        all      0.50      0.00      0.23      0.27      0.00     99.00
05:28:33        all      0.59      0.00      0.27      0.27      0.00     98.86
05:28:34        all      0.73      0.00      0.23      0.23      0.00     98.81
05:28:35        all      0.82      0.00      0.18      0.05      0.00     98.95
05:28:36        all      1.18      0.00      0.55      0.14      0.00     98.13
05:28:37        all      0.91      0.00      0.23      0.05      0.00     98.82
05:28:38        all      0.82      0.00      0.18      0.18      0.00     98.82
05:28:39        all      0.27      0.00      0.27      0.00      0.00     99.45
05:28:40        all      0.64      0.00      0.32      0.05      0.00     99.00
05:28:41        all      0.37      0.00      0.14      0.00      0.00     99.50
05:28:42        all      0.91      0.00      0.41      0.00      0.00     98.68
05:28:43        all      0.55      0.00      0.27      0.00      0.00     99.18
05:28:44        all      0.73      0.00      0.23      0.00      0.00     99.04
05:28:45        all      1.04      0.00      0.23      0.41      0.00     98.32
