System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-05-28,13:28:38.105,0.38,1.18,0.32,1.20,3.84,97.19,14.48,0.50,0.88,0.0044,0.0007,8.36,2.98,34,21859.57,18543.26,3193.20,2.36,39.29,0.76,12.69,26.91,41.93,0.00,30.02,1.14,100.00,0.00,0.00,0.00,36.11,28.42,0.62,
2026-05-28,13:28:39.106,0.32,1.11,0.29,1.19,3.80,93.88,18.66,0.51,0.81,0.0051,0.0010,7.96,2.52,45,18275.13,16459.98,3182.49,2.22,37.01,0.64,10.62,24.16,38.63,0.00,33.36,3.84,100.00,0.00,0.00,0.00,33.15,25.57,0.65,
2026-05-28,13:28:40.106,0.12,1.10,0.10,1.27,4.05,72.66,11.77,0.39,0.80,0.0110,0.0018,6.85,2.22,33,6616.86,6016.93,3186.91,2.20,36.66,0.23,3.84,8.29,40.09,0.00,44.62,7.00,100.00,0.00,0.00,0.00,21.78,13.92,1.14,
2026-05-28,13:28:41.106,0.19,1.40,0.14,1.26,4.05,83.70,9.44,0.45,0.87,0.0075,0.0008,7.59,2.52,42,11161.53,7950.72,3187.26,2.81,46.79,0.39,6.48,10.96,41.48,0.00,41.59,5.98,100.00,0.00,0.00,0.00,25.18,17.83,0.60,
2026-05-28,13:28:42.104,0.14,0.92,0.16,1.21,3.87,136.61,13.27,0.50,0.86,0.0165,0.0016,11.22,3.22,51,8257.32,8939.66,3188.86,1.85,30.79,0.29,4.80,12.89,50.54,0.00,30.70,5.87,100.00,0.00,0.00,0.00,25.84,17.79,0.93,
2026-05-28,13:28:43.105,0.07,0.66,0.10,1.26,4.02,139.03,8.13,0.31,0.67,0.0359,0.0021,12.18,8.80,47,3877.20,5901.16,3189.42,1.31,21.90,0.14,2.25,8.18,49.47,0.00,39.59,2.77,100.00,0.00,0.00,0.00,25.51,14.07,3.92,
2026-05-28,13:28:44.105,0.11,0.85,0.13,1.27,4.07,158.29,10.35,0.29,0.66,0.0259,0.0017,13.27,8.75,43,6123.35,7236.30,3188.27,1.69,28.21,0.21,3.56,9.93,48.56,0.00,38.70,2.81,100.00,0.00,0.00,0.00,27.20,15.78,3.84,
2026-05-28,13:28:45.105,0.13,1.10,0.12,1.27,4.07,93.28,10.45,0.40,0.78,0.0126,0.0014,8.18,3.44,50,7395.28,6748.00,3185.38,2.19,36.53,0.26,4.30,9.25,37.78,0.00,39.92,13.06,100.00,0.00,0.00,0.00,22.84,14.48,1.43,
2026-05-28,13:28:46.104,0.06,1.17,0.05,1.21,3.87,54.18,5.49,0.38,0.69,0.0151,0.0015,5.67,3.01,57,3591.68,3074.08,3187.02,2.34,38.95,0.13,2.09,4.44,38.81,0.00,45.28,11.48,100.00,0.00,0.00,0.00,17.66,9.11,1.82,
2026-05-28,13:28:47.105,0.10,1.35,0.07,1.17,3.73,36.38,5.64,0.56,0.83,0.0065,0.0010,4.32,1.92,42,5615.03,4153.46,3188.47,2.70,45.06,0.20,3.26,6.20,49.12,0.00,39.16,5.51,100.00,0.00,0.00,0.00,18.46,11.22,0.72,
2026-05-28,13:28:48.105,0.10,0.76,0.13,1.11,3.56,30.54,5.27,0.49,0.80,0.0054,0.0009,3.86,1.72,57,5704.55,7473.36,3186.56,1.53,25.44,0.20,3.32,11.72,33.01,0.00,44.51,10.75,100.00,0.00,0.00,0.00,18.66,11.19,0.85,
2026-05-28,13:28:49.105,0.02,0.69,0.02,1.07,3.44,26.45,4.04,0.48,0.70,0.0297,0.0045,3.60,1.66,57,891.67,1290.12,3188.75,1.38,23.04,0.03,0.52,2.09,36.04,0.00,52.80,9.06,100.00,0.00,0.00,0.00,13.55,5.73,1.31,
2026-05-28,13:28:50.106,0.03,0.92,0.03,1.11,3.55,26.66,4.10,0.48,0.71,0.0184,0.0028,3.59,1.66,57,1447.66,1582.07,3189.42,1.83,30.50,0.05,0.84,2.48,35.41,0.00,49.27,12.83,100.00,0.00,0.00,0.00,13.20,6.16,0.53,
2026-05-28,13:28:51.105,0.03,0.98,0.03,1.12,3.57,26.09,3.85,0.48,0.73,0.0150,0.0022,3.65,1.65,36,1740.11,1777.87,3185.67,1.96,32.63,0.06,1.01,2.78,37.29,0.00,50.92,9.01,100.00,0.00,0.00,0.00,14.78,6.70,0.85,
2026-05-28,13:28:52.106,0.04,1.10,0.04,1.13,3.62,28.03,4.49,0.51,0.77,0.0121,0.0019,3.65,1.70,58,2309.46,2095.39,3189.40,2.20,36.74,0.08,1.34,3.22,45.63,0.00,44.87,6.28,100.00,0.00,0.00,0.00,15.21,7.64,1.07,
2026-05-28,13:28:53.108,0.18,1.02,0.18,1.14,3.66,38.18,7.23,0.56,0.83,0.0037,0.0007,4.18,1.62,40,10350.40,10125.66,3185.66,2.04,34.07,0.36,6.02,15.44,42.86,0.00,37.63,4.07,100.00,0.00,0.00,0.00,23.28,16.22,0.51,
2026-05-28,13:28:54.106,0.24,2.18,0.11,1.30,4.17,43.64,8.00,0.51,0.80,0.0032,0.0006,4.55,1.35,28,13716.04,6302.36,3187.12,4.35,72.54,0.48,7.97,8.44,37.61,0.00,51.98,1.97,100.00,0.00,0.00,0.00,23.24,16.39,0.46,
2026-05-28,13:28:55.106,0.07,1.36,0.05,1.21,3.87,26.82,5.13,0.53,0.82,0.0069,0.0013,3.37,1.10,57,3878.61,2854.44,3187.26,2.72,45.29,0.14,2.25,4.12,41.09,0.00,50.47,4.33,100.00,0.00,0.00,0.00,16.54,9.73,0.40,
2026-05-28,13:28:56.107,0.03,1.01,0.02,1.09,3.50,20.02,3.59,0.50,0.74,0.0139,0.0025,2.86,0.99,58,1437.60,1426.86,3189.25,2.02,33.58,0.05,0.83,2.27,38.53,0.00,51.98,7.22,100.00,0.00,0.00,0.00,13.37,6.56,0.38,
2026-05-28,13:28:57.107,0.02,0.85,0.03,1.06,3.39,21.54,3.99,0.49,0.78,0.0162,0.0030,2.99,1.03,58,1326.50,1563.19,3189.60,1.70,28.29,0.05,0.77,2.57,46.25,0.00,47.55,3.62,100.00,0.00,0.00,0.00,13.92,7.01,0.47,
2026-05-28,13:28:58.107,0.03,0.99,0.03,1.09,3.48,21.59,3.97,0.48,0.73,0.0149,0.0027,2.91,1.04,58,1449.16,1461.54,3185.81,1.98,33.05,0.05,0.84,2.35,36.72,0.00,49.43,11.50,100.00,0.00,0.00,0.00,13.28,6.45,0.40,
2026-05-28,13:28:59.107,0.03,1.03,0.03,1.11,3.54,20.75,3.97,0.48,0.72,0.0137,0.0026,2.89,0.98,58,1519.30,1478.21,3188.99,2.06,34.26,0.05,0.88,2.33,34.41,0.00,55.65,7.61,100.00,0.00,0.00,0.00,14.18,6.60,0.41,
2026-05-28,13:29:00.108,0.01,0.59,0.02,1.03,3.28,19.30,3.61,0.50,0.72,0.0288,0.0054,2.82,0.99,59,670.52,1130.75,3189.21,1.19,19.77,0.02,0.39,1.92,35.10,0.00,53.06,9.92,100.00,0.00,0.00,0.00,12.77,5.92,0.43,
2026-05-28,13:29:01.107,0.03,1.03,0.03,1.11,3.56,19.76,3.47,0.52,0.75,0.0129,0.0023,2.97,1.05,58,1537.17,1496.35,3185.52,2.05,34.24,0.05,0.89,2.35,31.63,0.00,52.58,13.45,100.00,0.00,0.00,0.00,13.60,6.50,0.68,
2026-05-28,13:29:02.108,0.04,1.10,0.04,1.12,3.57,23.05,4.33,0.51,0.79,0.0102,0.0019,3.14,1.08,58,2249.87,2053.40,3189.49,2.19,36.52,0.08,1.31,3.21,44.69,0.00,46.91,5.19,100.00,0.00,0.00,0.00,14.77,7.91,0.43,
2026-05-28,13:29:03.108,0.01,0.61,0.02,1.03,3.28,17.75,2.69,0.52,0.77,0.0274,0.0042,2.71,0.96,58,648.73,1065.12,3185.71,1.22,20.30,0.02,0.38,1.81,35.06,0.00,51.58,11.55,100.00,0.00,0.00,0.00,12.49,5.69,0.40,
2026-05-28,13:29:04.108,0.03,1.09,0.03,1.10,3.51,18.56,3.69,0.52,0.73,0.0115,0.0023,2.80,0.98,58,1609.95,1470.72,3188.76,2.19,36.49,0.06,0.93,2.34,35.86,0.00,51.80,10.00,100.00,0.00,0.00,0.00,14.19,6.59,0.41,
2026-05-28,13:29:05.108,0.03,1.10,0.03,1.11,3.57,17.92,3.10,0.54,0.77,0.0108,0.0019,2.87,1.00,58,1656.27,1499.95,3185.67,2.21,36.81,0.06,0.96,2.35,35.08,0.00,55.26,7.31,100.00,0.00,0.00,0.00,13.57,6.77,0.43,
2026-05-28,13:29:06.109,0.01,0.63,0.02,1.03,3.31,17.75,2.99,0.51,0.75,0.0255,0.0043,2.76,0.99,58,697.07,1111.31,3188.98,1.25,20.91,0.02,0.40,1.87,42.83,0.00,53.00,2.29,100.00,0.00,0.00,0.00,13.25,6.41,0.45,
2026-05-28,13:29:07.107,0.03,1.10,0.03,1.11,3.56,20.84,3.76,0.50,0.74,0.0117,0.0021,3.01,1.11,58,1778.27,1619.81,3184.64,2.20,36.59,0.06,1.03,2.54,38.69,0.00,51.07,7.70,100.00,0.00,0.00,0.00,14.32,6.91,0.99,
2026-05-28,13:29:08.108,0.06,1.16,0.05,1.13,3.61,34.40,4.23,0.50,0.77,0.0098,0.0012,4.09,1.70,56,3501.28,3013.65,3188.98,2.32,38.73,0.12,2.03,4.66,45.02,0.00,46.61,3.71,100.00,0.00,0.00,0.00,16.56,8.81,1.20,
2026-05-28,13:29:09.108,0.04,0.87,0.04,1.09,3.50,37.12,5.38,0.46,0.75,0.0169,0.0024,4.08,1.27,57,2199.20,2517.46,3185.45,1.75,29.12,0.08,1.28,4.01,43.53,0.00,44.68,7.78,100.00,0.00,0.00,0.00,15.16,7.78,0.82,
2026-05-28,13:29:10.108,0.20,1.29,0.16,1.15,3.67,67.37,10.40,0.55,0.84,0.0058,0.0009,6.60,2.37,56,11535.02,8940.06,3190.16,2.58,43.01,0.40,6.70,13.56,57.67,0.00,26.39,2.38,100.00,0.00,0.00,0.00,26.70,17.88,2.07,
2026-05-28,13:29:11.109,0.02,0.63,0.03,1.06,3.39,23.90,3.73,0.49,0.75,0.0263,0.0041,3.19,1.10,58,907.65,1447.99,3189.17,1.25,20.89,0.03,0.53,2.38,34.19,0.00,53.23,10.20,100.00,0.00,0.00,0.00,14.06,6.32,0.51,
2026-05-28,13:29:12.109,0.11,1.48,0.08,1.10,3.52,33.73,5.06,0.54,0.83,0.0052,0.0008,4.28,1.75,58,6530.64,4417.62,3186.72,2.96,49.28,0.23,3.80,7.01,53.81,0.00,38.10,1.08,100.00,0.00,0.00,0.00,18.11,10.59,0.95,
